Algorithm,Run,Fitness,Latency (ms),Energy (J),CPU Utilization (%)
ACO,21,1.6511653421270962,2502.829989770099,37.366837066259215,15.681000620197
ACO,22,2.115843241985409,3299.557940530651,34.02711941675453,11.351585235207407
ACO,23,2.2849353027719363,3511.650985385929,44.4861778850948,10.617463465294946
ACO,24,1.8798098461231865,2959.5350287523606,26.02220721794252,21.545099483396694
ACO,25,2.1515949338626643,3384.4725150757454,30.227856204304345,10.475090837020606
ACO,26,1.8614977819899372,2897.167425185839,30.799331719608496,16.39450523451935
ACO,27,3.3563071545670993,5330.117515618942,39.559161298933525,11.725747899959266
ACO,28,2.24577049875146,3476.437098706394,39.97705988190589,15.29475307033995
ACO,29,1.9513682633652583,3049.741445725857,30.380848982436095,25.91433946410312
ACO,30,3.457331047069972,5407.372430493678,53.226897193441346,7.721078000411831
SA,1,2.6360444269077994,4140.263925032962,37.971517972005486,10.688578030287918
SA,2,4.2582172105190566,6740.846076704352,53.4273911241114,5.822989509627588
SA,3,1.9243745036176192,2975.4268156039257,34.77960356381595,12.967540388525812
SA,4,2.7183038388609537,4320.5696899229,31.490506226803447,12.495927388997405
SA,5,3.9303295145328034,6243.084035914358,46.11977324604738,8.057452003084643
SA,6,1.7735501435817773,2718.886193721256,35.554606837255974,14.23203060546802
SA,7,1.962623459468979,3039.138274082923,34.785123754806335,13.140889594668167
SA,8,2.7623040437607953,4337.949412326279,39.8835990912571,10.88637696272523
SA,9,3.374344938236148,5430.796226100678,28.966800643935432,8.218532379268817
SA,10,2.9588530182419746,4675.45327976472,38.39526259578564,9.075158180328557
SA,11,2.737756057834083,4259.876184069757,45.45758684805725,9.580216786868249
SA,12,1.3747228513172356,2081.0763488946623,31.51926049510954,22.172976452326196
SA,13,2.0123031970250387,3146.854226875964,31.04766522486513,9.862280701611501
SA,14,4.403910627424977,7056.229603462519,42.54321633686643,5.365972961586825
SA,15,3.32202027410181,5269.028833624423,40.15074348178898,8.753552311817996
SA,16,2.5479846986085093,3979.974112298649,40.00005780732997,11.399712852419984
SA,17,3.7799245097724716,5956.596721519405,51.49161921520719,6.829503240716132
SA,18,2.545742581482075,4005.839624471695,35.55970169976462,10.096055287954231
SA,19,1.7772422875975573,2688.032208329443,41.105740649972866,17.46469746162932
SA,20,2.0705625660838085,3224.4877581953338,33.967477791652094,13.742865800741255
SA,21,3.341947640916078,5279.86069012481,43.507806710298034,6.893911966771328
SA,22,1.8606784916398513,2902.285898079554,29.826738198029787,12.146357887097253
SA,23,2.507058029812305,3935.079774192572,36.50254132419043,9.38097100444313
SA,24,2.4802491616559843,3931.396299102383,30.352845548638626,8.615268815706454
SA,25,2.119110017728103,3312.788844812541,32.85917771014464,11.564077477602451
SA,26,1.8474609451206696,2853.6310074899543,33.82058515667423,16.884353762295348
SA,27,2.7051966460790373,4244.358899222727,39.64532663635031,9.932605021796359
SA,28,2.7299867651548273,4275.655458891134,41.14837245503662,10.07818653515353
SA,29,3.184195053178984,5031.004441262435,41.398097105380934,10.451180527640759
SA,30,3.4276597938330844,5415.7839953005605,44.54734916318701,9.483036388225006
